run_id,program_index,program_name,folder,metamodule,annotation
9_Proliferative_2_run2,14,Aurora Kinase B and Mitotic Checkpoint Regulation,9_Proliferative_2,9,Proliferative 2
9_Proliferative_2_run2,15,Epigenetic Modifier Targeting and Cell Cycle Inhibition,9_Proliferative_2,9,Proliferative 2
9_Proliferative_2_run2,16,Mitotic Spindle Assembly and Checkpoint Control,9_Proliferative_2,9,Proliferative 2
9_Proliferative_2_run2,17,FAM111B-PI3K/AKT Pathway and Glioma Malignancy,9_Proliferative_2,9,Proliferative 2
9_Proliferative_2_run2,18,Antigen Presentation and Immunotherapy Response,9_Proliferative_2,9,Proliferative 2
10_AC_gliosis_like_2_run2,8,Tetraspanin-Mediated Cell Adhesion,10_AC_gliosis_like_2,10,AC-gliosis-like 2
11_OPC_like_1_run1,9,Lin28-let-7 axis regulating stemness and differentiation,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run2,9,Proteolytic Processing and Proteasomal Activity,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run2,11,Endosomal Recycling and Receptor Trafficking,11_OPC_like_1,11,OPC-like 1
12_NPC_neuronal_like_3_run1,0,Terminal Neuronal Differentiation Blockade,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,1,GABAergic Synaptic Tumor Promotion,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,2,Axon Guidance & Cell Adhesion Dysregulation,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,3,Vascular Growth Factor Signaling & Angiogenesis,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,4,Ion Channel & Electrolyte Homeostasis Dysregulation,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,5,Synaptic Plasticity & Dendritic Maturation,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,6,Axonal Maintenance & Cytoskeletal Integrity,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,7,Apoptosis Resistance & Cell Survival Pathways,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,8,Retinoic Acid & MAPK-CaMKII Signaling Integration,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,9,Metabolic Reprogramming & Warburg Effect Activation,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,10,Extracellular Matrix Remodeling & Cell Migration,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
12_NPC_neuronal_like_3_run1,11,G-Protein-Coupled Receptor & Neuroendocrine Signaling,12_NPC_neuronal_like_3,12,NPC-neuronal-like 3
13_OPC_like_2_run1,9,Homologous Recombination and DNA Repair,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run2,2,GPR17-Mediated OPC Arrest and Tumor Suppression,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run2,6,Thrombospondin-1 Immunosuppression and Vascular Regulation,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run2,9,Kinesin-Mediated Intracellular Transport and Neuronal Development,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run2,12,Glutamate Excitotoxicity and Neuronal Damage,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run2,14,Neuronal Activity-Dependent Dendritic Plasticity in GBM,13_OPC_like_2,13,OPC-like 2
