run_a_id,run_b_id,program_a_index,program_b_index,program_a_name,program_b_name,gene_jaccard,name_similarity,combined_similarity,folder,metamodule,annotation
10_AC_gliosis_like_2_run1,10_AC_gliosis_like_2_run2,0,4,Extracellular Matrix Remodeling and Invasion,Extracellular Matrix Remodeling,0.38095238095238093,0.8825459547540782,0.6317491678532295,10_AC_gliosis_like_2,10,AC-gliosis-like 2
10_AC_gliosis_like_2_run1,10_AC_gliosis_like_2_run2,5,1,Calcium Signaling and Ion Homeostasis,Calcium-Mediated Proliferation and Survival,0.6153846153846154,0.569933223857394,0.5926589196210047,10_AC_gliosis_like_2,10,AC-gliosis-like 2
10_AC_gliosis_like_2_run1,10_AC_gliosis_like_2_run2,4,2,Glioma Stem Cell Maintenance and Self-Renewal,Glioma Stem Cell Maintenance,0.23076923076923078,0.9426744787746505,0.5867218547719406,10_AC_gliosis_like_2,10,AC-gliosis-like 2
10_AC_gliosis_like_2_run1,10_AC_gliosis_like_2_run2,8,6,Immune Modulation and Inflammatory Signaling,Immune Microenvironment Modulation,0.3,0.6669247348773171,0.48346236743865856,10_AC_gliosis_like_2,10,AC-gliosis-like 2
10_AC_gliosis_like_2_run1,10_AC_gliosis_like_2_run2,1,5,RTK/MAPK Signaling Inhibition and Feedback,Receptor Tyrosine Kinase Signaling,0.38461538461538464,0.5654589856186476,0.4750371851170161,10_AC_gliosis_like_2,10,AC-gliosis-like 2
10_AC_gliosis_like_2_run1,10_AC_gliosis_like_2_run2,6,0,Mesenchymal Differentiation and Epithelial-Mesenchymal Transition,Epithelial-Mesenchymal Transition,0.03571428571428571,0.8176604882075786,0.42668738696093217,10_AC_gliosis_like_2,10,AC-gliosis-like 2
10_AC_gliosis_like_2_run1,10_AC_gliosis_like_2_run2,7,7,Hypoxia Response and Metabolic Adaptation,Cuproptosis and Metabolic Reprogramming,0.0,0.5409208098856021,0.27046040494280105,10_AC_gliosis_like_2,10,AC-gliosis-like 2
10_AC_gliosis_like_2_run1,10_AC_gliosis_like_2_run2,3,3,Angiogenesis and Vascular Remodeling,Integrin-Mediated Cell Invasion,0.0,0.4218306704916408,0.2109153352458204,10_AC_gliosis_like_2,10,AC-gliosis-like 2
10_AC_gliosis_like_2_run1,10_AC_gliosis_like_2_run2,2,9,Wnt/β-catenin Pathway Activation,Transcriptional Regulation of Differentiation,0.0,0.38414713211547624,0.19207356605773812,10_AC_gliosis_like_2,10,AC-gliosis-like 2
11_OPC_like_1_run1,11_OPC_like_1_run2,1,3,Notch signaling and neural stem cell maintenance,Notch Signaling and Stem Cell Maintenance,0.6,0.8945115722883832,0.7472557861441915,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run1,11_OPC_like_1_run2,5,0,Extracellular matrix remodeling and vasculature assembly,Extracellular Matrix Remodeling and Cell Adhesion,0.4117647058823529,0.7564763382431834,0.5841205220627681,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run1,11_OPC_like_1_run2,0,2,Oligodendrocyte differentiation and myelin formation,Oligodendrocyte Lineage Progenitor Identity,0.5454545454545454,0.606704266907189,0.5760794061808672,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run1,11_OPC_like_1_run2,8,6,Growth factor receptor signaling networks,Growth Factor Receptor Signaling and Proliferation,0.3333333333333333,0.8162689116987203,0.5748011225160268,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run1,11_OPC_like_1_run2,3,1,Ion homeostasis and osmotic cell volume regulation,Ion Channel-Mediated Cell Motility,0.7,0.4330557104109351,0.5665278552054676,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run1,11_OPC_like_1_run2,7,4,Lipid metabolism and myelin-derived nutrient scavenging,Lipid Metabolism and Sphingolipid Remodeling,0.45454545454545453,0.6526832191581097,0.5536143368517821,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run1,11_OPC_like_1_run2,6,5,Integrin-mediated cell adhesion and migration,Cell Migration and Invasion Machinery,0.07692307692307693,0.6271818055719677,0.35205244124752233,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run1,11_OPC_like_1_run2,10,7,Developmental transcriptional regulation and cell fate specification,Mesenchymal Transition and Invasion Program,0.25,0.4039273099267149,0.32696365496335744,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run1,11_OPC_like_1_run2,4,8,Cell cycle progression and proliferation,Mitochondrial Dynamics and Cellular Metabolism,0.0,0.39527500404212224,0.19763750202106112,11_OPC_like_1,11,OPC-like 1
11_OPC_like_1_run1,11_OPC_like_1_run2,2,10,Synaptic adhesion and neuronal crosstalk,Signal Transduction Modulation and cAMP/Calcium Signaling,0.0,0.3778800567882394,0.1889400283941197,11_OPC_like_1,11,OPC-like 1
13_OPC_like_2_run1,13_OPC_like_2_run2,8,5,Semaphorin-Neuropilin Axis,Semaphorin-Plexin Axon Guidance and Angiogenesis Regulation,1.0,0.7317736569063119,0.865886828453156,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,7,10,Notch Pathway-Driven Stemness,Notch Signaling and Intratumoral Heterogeneity,1.0,0.7011083411474888,0.8505541705737444,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,0,0,Oligodendroglial Differentiation Blockade,Oligodendrocyte Differentiation and Myelination,0.6666666666666666,0.6857856247334562,0.6762261457000613,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,3,4,Cadherins and Adhesion-Regulated Invasion,Cell Adhesion and Invasion Suppression,0.375,0.6821035100317925,0.5285517550158962,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,4,3,Potassium and Calcium Channel-Driven Invasiveness,Neuron-Glioma Synaptic Plasticity and Growth Promotion,0.4,0.39092207419775704,0.39546103709887853,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,6,7,Immune Checkpoint and T-Cell Suppression,Immune Checkpoint and Phagocytosis Regulation,0.0,0.7027518001209874,0.3513759000604937,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,10,13,Transcriptional Regulation of Neural Differentiation,Transcriptional Regulation of Oligodendroglial Programs,0.0,0.6763871906616261,0.33819359533081306,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,2,1,Matrix Metalloproteinase-Driven ECM Degradation,White Matter Invasion and Demyelination Response,0.2222222222222222,0.379752234284697,0.3009872282534596,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,5,8,Lipid and Sterol Metabolism Adaptation,Lipid Transport and Myelin Lipid Homeostasis,0.0,0.5700774874257288,0.2850387437128644,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,1,11,Neural Stem Cell State Plasticity,BMP Signaling and Tumor Angiogenesis,0.25,0.29401819062505274,0.27200909531252637,13_OPC_like_2,13,OPC-like 2
13_OPC_like_2_run1,13_OPC_like_2_run2,11,15,Thyroid Hormone Activation and H2S Metabolism,Tumor Microenvironment Remodeling and Hypoxia Response,0.0,0.3787930918270635,0.18939654591353175,13_OPC_like_2,13,OPC-like 2
