metamodule,annotation,folder,source_file,program_name,similar_terms_raw,novel_aspects,matched_term_count,supporting_gene_count
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Neuron-to-Tumor Synaptic Integration,"regulation of ion transport (GO:0043269), regulation of sodium ion transport (GO:0002028), cell junction organization (GO:0034330), cell-cell junction organization (GO:0045216), cell-cell junction (GO:0005911), Calcium signaling pathway","Explicit appreciation of tumor-neuron synaptic integration, functional excitatory input to tumor, neuronally-driven proliferation and Akt activation, offering circuit-level insights not captured by high-level ion transport terms.",5,15.0
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Axon Guidance and Migratory Reprogramming,"negative regulation of axon extension (GO:0030517), negative regulation of axon extension in axon guidance (GO:0048843), neural crest cell migration (GO:0001755)",Repurposing of developmental axon guidance molecules (semaphorins/plexins/NRP) for tumor migration along white matter tracts and perivascular spaces with directional context; direct cytoskeletal remodeling integration.,2,4.0
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Neural Stem Cell Maintenance and Pluripotency,"central nervous system development (GO:0007417), neural crest cell development (GO:0014032), peripheral nervous system development (GO:0007422)","Elucidation of Notch/bHLH/ERBB3 stemness pathway co-optation for self-renewal, therapy resistance, and GBM hierarchical organization, prioritizing pathway logic not just tissue development/differentiation.",3,8.0
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Cell Cycle Proliferation and Checkpoint Dysregulation,ameboidal-type cell migration (GO:0001667),"Mechanistic connection between specific cell cycle accelerator genes, checkpoint evasion machinery, and therapy resistance; links to spindle dynamics and apoptosis repression, which GSEA terms do not resolve.",1,8.0
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Lipid Metabolism and Membrane Remodeling,-,"Coordination of glycosphingolipid synthesis, vesicular trafficking (SYT6/SYT7/ATP8A2), and membrane expansion for tumor growth and microtube formation—absent from general GSEA terms.",0,12.0
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Hypoxia Response and Angiogenic Signaling,-,"Integration of hypoxia-target genes (TF, CA10, DIO2, PTGDS) and HIF-driven angiogenesis/metabolic reprogramming in GBM, with therapy resistance and immunosuppression context not directly addressed by GSEA terms.",0,7.0
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Autophagy and Lysosomal Degradation,-,"Explicit program describing autophagy and lysosomal pathways in GBM stress survival, chemotherapy resistance, and choice between autophagic survival and cell death, not reflected in GSEA terms.",0,4.0
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Amino Acid Metabolism and Nutrient Transport,-,"Rewired glutaminolysis, amino acid transport (SLC7A14, SLC1A1), and nucleotide synthesis supporting metabolic flexibility, which is not captured by high-level transport or metabolism terms in the GSEA results.",0,6.0
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,DNA Damage Response and Genomic Stability,-,"Mechanistic annotation of DNA damage checkpoint, double-strand break repair, and therapy resistance involving direct protein effectors (CABLES1, ZNF536, SIRT2), missing from general GSEA terms.",0,3.0
1,OPC-AC-like 1,01_OPC-AC-like_1,comparison geneset_2.md,Glial/astrocyte differentiation and tumor plasticity,None,"Identifies lineage plasticity and astrocyte lineage transitions supported by neural activity genes (ARC, DAB1) not directly reflected in glycoprotein biosynthesis.",0,3.0
1,OPC-AC-like 1,01_OPC-AC-like_1,comparison geneset_2.md,Mesenchymal invasion and matrix remodeling,glycoprotein biosynthetic process (GO:0009101),"Explicitly details cell-matrix adhesion via integrins (ITGB4), CD44, metalloproteinases (ADAMTS5), ECM proteins, and pro-migratory lipid signaling (PLA2G4A).",1,6.0
1,OPC-AC-like 1,01_OPC-AC-like_1,comparison geneset_2.md,Redox and ferroptosis resistance,None,"Links SLC7A11 (xCT) and LUCAT1 to ROS/ferroptosis resistance and metabolic adaptation, a program not captured by glycoprotein biosynthetic process.",0,2.0
1,OPC-AC-like 1,01_OPC-AC-like_1,comparison geneset_2.md,Immune evasion: MHC class I downregulation,None,"Focuses on NLRC5-mediated antigen presentation and immune evasion, an axis not covered by glycoprotein synthesis.",0,1.0
2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,comparison geneset_3.md,Motile Ciliary Axoneme,"cilium movement (GO:0003341), regulation of cilium movement (GO:0003352), axonemal dynein complex assembly (GO:0070286), cilium organization (GO:0044782), cilium assembly (GO:0060271), axoneme assembly (GO:0035082), inner dynein arm assembly (GO:0036159), motile cilium (GO:0031514), cilium (GO:0005929), regulation of microtubule motor activity (GO:2000574), plasma membrane bounded cell projection assembly (GO:0120031)","DeepSearch links ciliary genes not only to movement, assembly and axoneme but interprets their co-expression as dedifferentiation, developmental reactivation, or stem-like programs in glioblastoma, which is not captured in standard enrichment outputs. Also, the role of ciliary genes in Hedgehog/GLI signaling and cancer cell signaling is highlighted as a program-level impact.",11,19.0
2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,comparison geneset_3.md,Extracellular Matrix Remodeling,"extracellular matrix organization (GO:0030198), collagen fibril organization (GO:0030199), collagen-containing extracellular matrix (GO:0062023)","DeepSearch recovery matches GSEA, but it provides mechanistic connections (e.g., THBS1 at invasive borders, immunosuppressive ECM signatures, resistance to anti-angiogenic therapy, and specific links between ECM genes and tumor microenvironment). Examples such as HMCN1 mutation prevalence, the mesenchymal signature, and EMT induction in glioma are not explicit in GO terms.",3,7.0
2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,comparison geneset_3.md,GABAergic Neurotransmission,Glutamatergic synapse,"DeepSearch goes beyond synaptic annotation to describe neuron-glioma synapse formation and the role of GABAergic signaling and chloride transporters (e.g., depolarization vs inhibition), with links to proliferation and clinical relevance in glioblastoma. GSEA provides only general synapse association.",0,5.0
2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,comparison geneset_3.md,Transcriptional Regulation and Chromatin Remodeling,(none),"No direct matching GSEA terms in the provided GO list. DeepSearch uncovers programs related to ZNF, PLAGL1, CHD5, PRMT8, and AFF2 action in differentiation, stemness, edge-to-core transition, and tumor suppression. Also describes specific mechanistic aspects such as Hedgehog pathway modulation via ZNF521, chromatin organization, CD109 regulation, and PRMT8-driven neuronal differentiation.",0,7.0
2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,comparison geneset_3.md,cAMP Signaling and Kinase Cascades,(none),"No direct matching GSEA terms. DeepSearch interprets ADCY8, KSR2, MAP3K19, MAP7 as a coordinated signaling/metabolic module relevant for sex-specific risk, energy homeostasis, chemoresistance, and mirroring mesenchymal GBM biology, which GSEA does not identify.",0,4.0
2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,comparison geneset_3.md,Neuregulin-BMP Signaling,(none),"No direct matches in GSEA. DeepSearch describes specific links to NRG3/BMP6 in invasion, glioma stem cell quiescence, immune infiltration, and radioresistance. Provides pathway-level understanding absent in GO enrichment alone.",0,2.0
2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,comparison geneset_3.md,Solute Carrier Transporters,(none),"No direct matches in GO terms. DeepSearch flags drug and metabolite transporters as relevant to stemness, therapy response, and tumor metabolism, which are not highlighted by GSEA, and gives specific genes.",0,3.0
2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,comparison geneset_3.md,Immune Cell Markers,(none),"No direct matches in GO terms. DeepSearch identifies B cell and cytokine signaling features (BANK1, FYB2, IL6R) and links to immune infiltration, lymphoid structure formation, and clinical prediction, absent from GO enrichment.",0,3.0
3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,comparison geneset_4.md,Extracellular Matrix and Invasion,"collagen-containing extracellular matrix (GO:0062023), catenin complex (GO:0016342)","Connects ECM gene activation to angiogenesis, invasion, and therapy resistance; specifically highlights FAP, POSTN, and pathway-level roles in progression[^2_1][^2_2][^2_3][^2_4][^2_5][^2_6]",2,4.0
3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,comparison geneset_4.md,Glutamatergic Excitotoxicity and Synapse Dynamics,"synaptic vesicle membrane (GO:0030672), exocytic vesicle membrane (GO:0099501), ionotropic glutamate receptor complex (GO:0008328), excitatory synapse (GO:0060076)","Links glutamate transport and receptor genes with therapy resistance, neuron-tumor crosstalk, and microenvironment dynamics—integrating SLC17A6, GRIN2A, synaptic gene neuromodulation in GBM[^2_7][^2_8][^2_9][^2_10][^2_11][^2_12]",4,6.0
3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,comparison geneset_4.md,Glioma Stem Cell Maintenance and Therapy Resistance,None (no direct GO term match),"Identifies GFRA1, GREM2, RUNX1T1, MYT1L, and transcription factors as central to stemness, self-renewal, and chemoresistance in GBM microenvironment (roles not annotated or rarely linked in GSEA) [^2_13][^2_14][^2_15]",0,8.0
4,AC-gliosis-like 1,04_AC-gliosis-like_1,comparison geneset_5.md,Aquaporin/Ion Channel-Driven Migration,"cellular water homeostasis (GO:0009992), integral component of plasma membrane (GO:0005887)","Direct link between AQP1, AQP4, KCNN3 and enhanced invasion/edema in glioblastoma; migratory strategy supported by aquaporins/ion channels, not captured explicitly by GSEA",2,3.0
4,AC-gliosis-like 1,04_AC-gliosis-like_1,comparison geneset_5.md,Reactive Astrocyte-Like State and Stemness,"none directly; partial overlap with ""integral component of plasma membrane"" (GO:0005887) due to astrocyte markers","Evidence for astrocytic and stemness markers inducing GBM invasiveness/therapy resistance, stemness maintenance via ID3/ID4/CD44 not reflected in GSEA",1,6.0
4,AC-gliosis-like 1,04_AC-gliosis-like_1,comparison geneset_5.md,ECM Remodeling and Cell-Cell Adhesion,"extracellular structure organization (GO:0043062), external encapsulating structure organization (GO:0045229), extracellular matrix organization (GO:0030198), collagen-containing extracellular matrix (GO:0062023)","More detailed mechanistic understanding: invasion via HAS2, BCAN, TIMP3, ADAMTS proteins; emphasis on hyaluronan synthesis pathway and non-collagen ECM remodeling, direct links to cell adhesion/integrin signaling",4,10.0
4,AC-gliosis-like 1,04_AC-gliosis-like_1,comparison geneset_5.md,Angiogenesis and Vascular Remodeling,"Complement and coagulation cascades (partial for F3), Calcium signaling pathway (indirect via EGF/PDGFRB)","Connects F3, EGF, PDGFRB, EDNRA, EDNRB to integrated vascular remodeling and resistance mechanisms (not explicitly captured by GO: terms); focuses on neovascularization and antiangiogenic therapy resistance",0,5.0
4,AC-gliosis-like 1,04_AC-gliosis-like_1,comparison geneset_5.md,"Immunomodulation, Hypoxia, and Inflammation","Complement and coagulation cascades (for C3, F3), negative regulation of endopeptidase and peptidase activity (GO:0010951, GO:0010466) in broad sense","DeepSearch highlights immune suppression and adaptation via SERPINA3, C3, CHI3L2, including hypoxia-driven complement regulation and microenvironment adaptation, which is not a distinct GSEA term",0,3.0
4,AC-gliosis-like 1,04_AC-gliosis-like_1,comparison geneset_5.md,Metabolic Adaptation and Glycolysis,"Calcium signaling pathway (partial overlap), Bile Secretion (indirect for metabolic reprogramming)","Novel recognition of glycolysis driver PFKFB3, its role in proliferation under hypoxia, and metabolic rewiring for therapy resistance—absent from GSEA result terms",0,1.0
4,AC-gliosis-like 1,04_AC-gliosis-like_1,comparison geneset_5.md,Mesenchymal State Induction via Cytokine Receptors,none directly,"OSMR-driven mesenchymal properties, immune escape, macrophage polarization; specific cytokine/STAT3 pathway program not found in GO term enrichment",0,1.0
5,AC-neuronal-like,05_AC-neuronal-like,comparison geneset_6.md,Glioblastoma Invasion & Migration,actin-based cell projection (GO:0098858),"Integration of ECM degradation, neuronal migration cues (RELN, SLIT2), POSTN-mediated immune effects; cross-talk between adhesion, cytoskeleton, ECM, and neural guidance, not fully captured in GSEA term alone[^2_1][^2_2][^2_3][^2_4]",1,12.0
5,AC-neuronal-like,05_AC-neuronal-like,comparison geneset_6.md,Glioblastoma Immune Suppression,None,"Identification of M2 macrophage polarization (CD163, VSIG4, MSR1), immune checkpoint regulation (CD96), epigenetic cytokine pathway loss (IL7), and myeloid regulation (INPP5D); immune network cross-talk not recognized by listed GO terms[^2_5][^2_6][^2_7][^2_8]",0,6.0
5,AC-neuronal-like,05_AC-neuronal-like,comparison geneset_6.md,Stem Cell Maintenance & Therapy Resistance,"actin-based cell projection (GO:0098858) (partial, due to cytoskeleton changes)","Connects WNT, ALDH1A2, HMGA2, BIRC3, TGM2 to stemness, mesenchymal transition, apoptosis resistance. Therapy adaptation and tumor recurrence impacts not present in vesicle/cytoskeleton GO terms[^2_9][^2_10][^2_11][^2_12]",1,
5,AC-neuronal-like,05_AC-neuronal-like,comparison geneset_6.md,Angiogenesis & Hypoxic Adaptation,None,"Unique cluster on angiogenic signaling (VEGFD, TEK, FAP) and metabolic adaptation (PLIN2) in hypoxia, including perivascular niche effects. Not indicated by exocytic/synaptic vesicle or actin projection GO terms[^2_13][^2_14][^2_15]",0,
6,OPC-NPC-like,06_OPC-NPC-like,comparison geneset_7.md,Sonic Hedgehog and GLI Signaling,None matched directly,Identification of Hedgehog-GLI axis as central to stemness and therapy resistance; not reflected in enrichment of translation/ribosome/nonsense mediated decay/cytoplasmic processes [^2_1][^2_2],0,4.0
6,OPC-NPC-like,06_OPC-NPC-like,comparison geneset_7.md,Notch Signaling,None matched directly,Recognition of DLL1/Notch axis driving stem cell maintenance and resistance; GSEA does not reflect Notch/Delta-Delta processes [^2_3],0,1.0
6,OPC-NPC-like,06_OPC-NPC-like,comparison geneset_7.md,EGFR/ERBB Family Signaling,None matched directly,"Explicit role of EGFR, ERBB3 in growth, resistance, survival, and mesenchymal transition not represented in GSEA translation/ribosome process [^2_4]",0,2.0
6,OPC-NPC-like,06_OPC-NPC-like,comparison geneset_7.md,Mesenchymal Transition & Invasion,"axonogenesis (GO:0007409), axon guidance (GO:0007411), regulation of neuron apoptotic process (GO:0043523)","Precise identification of PRRX1, RELN, FREM2, STC1 in driving EMT-like mesenchymal transition and ECM remodeling; these gene/process links are not discernible in GSEA terms focused on axon/neuronal development [^2_7][^2_8]",3,4.0
6,OPC-NPC-like,06_OPC-NPC-like,comparison geneset_7.md,Immunosuppression,None matched directly,"Direct assignment of LGALS1, ISG15 roles in local immunosuppression and therapy escape, which GSEA overlooks [^2_9][^2_10]",0,2.0
7,Proliferative,07_Proliferative,comparison geneset_8.md,Mitotic Cell Division Promotion,"microtubule cytoskeleton organization in mitosis, mitotic spindle organization, mitotic sister chromatid segregation, sister chromatid segregation, mitotic nuclear division, mitotic metaphase plate congression, regulation of cytokinesis, mitotic cytokinesis, cytoskeleton-dependent cytokinesis, mitotic cell cycle phase transition, regulation of mitotic cell cycle phase transition, mitotic spindle assembly, kinetochore organization, mitotic spindle checkpoint signaling, spindle assembly checkpoint signaling, chromosome condensation, chromosome organization, and more.","Unified mapping of genes to specific spindle assembly, checkpoint, and cytokinesis modules in glioblastoma; highlights cancer-specific upregulation, aneuploidy, and aggressiveness, detailed crosstalk between microtubule motors, spindle checkpoint, and cytokinesis regulators. Identifies missing checkpoint genes needed for program completeness.",24,30.0
7,Proliferative,07_Proliferative,comparison geneset_8.md,Cell Cycle Progression and DNA Replication,"regulation of cell cycle process, positive regulation of cell cycle process, regulation of cell cycle, cell cycle checkpoint signaling, positive regulation of cell division, DNA replication, regulation of cyclin-dependent protein kinase activity, mitotic chromosome condensation, DNA repair, G2/M transition, regulation of signal transduction by p53, and more.","Integrates DNA replication/repair machinery with cell cycle control, linking RRM2, BRIP1, EXO1, and POLQ to therapy resistance and replicative stress in glioblastoma; explicitly associates the BRCA1-FANCD2 axis with tumorigenicity and identifies repair-dependent resistance mechanisms not emphasized in standard GSEA output.",12,14.0
7,Proliferative,07_Proliferative,comparison geneset_8.md,Stemness and Tumorigenicity Drivers,"Not directly reflected; closest: regulation of cell population proliferation, positive regulation of cell cycle process, regulation of multicellular organismal development.","Identification of HMMR, MKI67, MELK, ASPM, FOXM1 stemness modules driving glioblastoma self-renewal, recurrence, and resistance. Pinpoints glioma stem cell biology, regulatory axes, and connection to poor prognosis; links MELK-FOXM1 axis and stemness signatures as central features omitted by classical GSEA.",5,5.0
