folder,run_index,program_index,program_name
07_Proliferative,1,3,Transcriptional Cell Cycle Regulation
07_Proliferative,1,4,Kinesin Motor Protein Function
07_Proliferative,1,5,Centromere and Kinetochore Assembly
07_Proliferative,1,6,Mitotic Kinase Cascades
07_Proliferative,1,7,DNA Replication and S-Phase Progression
07_Proliferative,1,8,Sister Chromatid Cohesion and Separation
07_Proliferative,1,9,Apoptosis Inhibition and Cell Survival
07_Proliferative,1,10,Condensin-Mediated Chromosome Condensation
07_Proliferative,2,0,Mitotic Cell Division Promotion
07_Proliferative,2,1,Cell Cycle Progression and DNA Replication
07_Proliferative,2,2,Stemness and Tumorigenicity Drivers
08_Gliosis-hypoxia,1,0,Hypoxia Response & Survival
08_Gliosis-hypoxia,1,1,Mesenchymal Transition & Invasion
08_Gliosis-hypoxia,1,2,Angiogenesis & Vascular Niche
08_Gliosis-hypoxia,1,3,EGFR-MET Oncogenic Signaling & Feedback
08_Gliosis-hypoxia,2,0,Mesenchymal transition & Invasion
08_Gliosis-hypoxia,2,1,Hypoxia and metabolic reprogramming
08_Gliosis-hypoxia,2,2,Growth factor & receptor tyrosine signaling
08_Gliosis-hypoxia,2,3,Purine and fatty acid metabolism
08_Gliosis-hypoxia,2,4,Cell stress and apoptosis regulation
09_Proliferative_2,1,0,DNA Replication Licensing & Fork Progression
09_Proliferative_2,1,1,Cell Cycle Regulation & Checkpoint Control
09_Proliferative_2,1,2,"DNA Damage Response & Repair (HR, FA, TLS)"
09_Proliferative_2,1,3,Chromatin Remodeling & Epigenetic Regulation
09_Proliferative_2,2,0,DNA Replication Licensing and Progression
09_Proliferative_2,2,1,Homologous Recombination and DNA Damage Response
09_Proliferative_2,2,2,Mitotic Regulation and Chromosome Segregation
09_Proliferative_2,2,3,Cell Cycle Transcriptional Regulation
09_Proliferative_2,2,4,Epigenetic Regulation and Chromatin Remodeling
10_AC-gliosis-like_2,1,0,Mesenchymal Invasion & EMT
10_AC-gliosis-like_2,1,1,Stemness & WNT-Driven Maintenance
10_AC-gliosis-like_2,1,2,Angiogenesis & Microenvironment Interaction
10_AC-gliosis-like_2,1,3,Neuronal-Synaptic & Neurotransmitter Modulation
10_AC-gliosis-like_2,1,4,Hypoxia/Metabolic Stress Adaptation
10_AC-gliosis-like_2,2,0,Invasion and Migration Signaling
10_AC-gliosis-like_2,2,1,Angiogenesis and Neovascularization
10_AC-gliosis-like_2,2,2,WNT/Stemness Signaling
11_OPC-like_1,1,0,Cell Migration and Invasion
11_OPC-like_1,1,1,Oligodendrocyte/Stem-like Myelination Program
11_OPC-like_1,1,2,"Calcium, Ion Channel, and Synaptic Pathway"
11_OPC-like_1,1,3,Angiogenesis and Vascular Remodeling
11_OPC-like_1,2,0,Oligodendrocyte Differentiation & Myelin Formation
11_OPC-like_1,2,1,Extracellular Matrix & Basement Membrane Organization
11_OPC-like_1,2,2,Neuregulin-ErbB Receptor Signaling & Growth Promotion
11_OPC-like_1,2,3,Calcium Signaling & Ion Channel Activity
11_OPC-like_1,2,4,Cell Cycle Progression & Proliferation Control
11_OPC-like_1,2,5,Epithelial-Mesenchymal Transition & Invasion
11_OPC-like_1,2,6,Lipid Metabolism & Bioenergetics Rewiring
11_OPC-like_1,2,7,Hypoxia Response & Angiogenic Signaling
11_OPC-like_1,2,8,Cancer Stem Cell Maintenance & Plasticity
11_OPC-like_1,2,9,Long Non-Coding RNA Regulatory Networks
12_NPC-neuronal-like_3,1,0,Glutamatergic Signaling & Excitotoxicity
12_NPC-neuronal-like_3,1,1,GABAergic and Neuronal Differentiation
12_NPC-neuronal-like_3,1,2,Neural Cell Adhesion & Migration
12_NPC-neuronal-like_3,1,3,Calcium Signaling and Ion Homeostasis
12_NPC-neuronal-like_3,1,4,Transcriptional and Epigenetic Reprogramming
12_NPC-neuronal-like_3,2,0,Glutamatergic Signaling & Excitotoxicity
12_NPC-neuronal-like_3,2,1,GABAergic and Neuronal Differentiation
12_NPC-neuronal-like_3,2,2,Neural Cell Adhesion & Migration
12_NPC-neuronal-like_3,2,3,Calcium Signaling and Ion Homeostasis
12_NPC-neuronal-like_3,2,4,Transcriptional and Epigenetic Reprogramming
13_OPC-like_2,1,0,Oligodendrocyte myelin transcriptional control
13_OPC-like_2,1,1,Myelin lipid synthesis and homeostasis
13_OPC-like_2,1,2,ECM proteolysis and glioma invasion
13_OPC-like_2,2,0,Oligodendrocyte Lineage Programming
13_OPC-like_2,2,1,Extracellular Matrix Remodeling and Invasion
13_OPC-like_2,2,2,Neuron-to-Tumor Synaptic Integration
13_OPC-like_2,2,3,Axon Guidance and Migratory Reprogramming
13_OPC-like_2,2,4,Neural Stem Cell Maintenance and Pluripotency
13_OPC-like_2,2,5,Cell Cycle Proliferation and Checkpoint Dysregulation
13_OPC-like_2,2,6,Lipid Metabolism and Membrane Remodeling
13_OPC-like_2,2,7,Hypoxia Response and Angiogenic Signaling
13_OPC-like_2,2,8,Autophagy and Lysosomal Degradation
13_OPC-like_2,2,9,Amino Acid Metabolism and Nutrient Transport
13_OPC-like_2,2,10,DNA Damage Response and Genomic Stability
