run_id,program_index,program_name,folder,metamodule,annotation
10_AC-gliosis-like_2_run1,4,Hypoxia/Metabolic Stress Adaptation,10_AC-gliosis-like_2,10,AC-gliosis-like 2
11_OPC-like_1_run1,3,Angiogenesis and Vascular Remodeling,11_OPC-like_1,11,OPC-like 1
11_OPC-like_1_run2,2,Neuregulin-ErbB Receptor Signaling & Growth Promotion,11_OPC-like_1,11,OPC-like 1
11_OPC-like_1_run2,4,Cell Cycle Progression & Proliferation Control,11_OPC-like_1,11,OPC-like 1
11_OPC-like_1_run2,5,Epithelial-Mesenchymal Transition & Invasion,11_OPC-like_1,11,OPC-like 1
11_OPC-like_1_run2,6,Lipid Metabolism & Bioenergetics Rewiring,11_OPC-like_1,11,OPC-like 1
11_OPC-like_1_run2,7,Hypoxia Response & Angiogenic Signaling,11_OPC-like_1,11,OPC-like 1
11_OPC-like_1_run2,8,Cancer Stem Cell Maintenance & Plasticity,11_OPC-like_1,11,OPC-like 1
11_OPC-like_1_run2,9,Long Non-Coding RNA Regulatory Networks,11_OPC-like_1,11,OPC-like 1
13_OPC-like_2_run2,2,Neuron-to-Tumor Synaptic Integration,13_OPC-like_2,13,OPC-like 2
13_OPC-like_2_run2,3,Axon Guidance and Migratory Reprogramming,13_OPC-like_2,13,OPC-like 2
13_OPC-like_2_run2,4,Neural Stem Cell Maintenance and Pluripotency,13_OPC-like_2,13,OPC-like 2
13_OPC-like_2_run2,5,Cell Cycle Proliferation and Checkpoint Dysregulation,13_OPC-like_2,13,OPC-like 2
13_OPC-like_2_run2,7,Hypoxia Response and Angiogenic Signaling,13_OPC-like_2,13,OPC-like 2
13_OPC-like_2_run2,8,Autophagy and Lysosomal Degradation,13_OPC-like_2,13,OPC-like 2
13_OPC-like_2_run2,9,Amino Acid Metabolism and Nutrient Transport,13_OPC-like_2,13,OPC-like 2
13_OPC-like_2_run2,10,DNA Damage Response and Genomic Stability,13_OPC-like_2,13,OPC-like 2
