run_id,metamodule,annotation,folder,run_index,program_index,program_name,description,supporting_genes,supporting_gene_count,significance_score,predicted_impacts
01_OPC-AC-like_1_run1,1,OPC-AC-like 1,01_OPC-AC-like_1,1,1,Mesenchymal invasion and matrix remodeling,CD44 and ITGB4 coordinate cell-matrix adhesion and trafficking; ADAMTS5 and COL20A1 facilitate ECM degradation. GPC5 and PLA2G4A interface with the matrix and lipid metabolism to support invasion.,"[""CD44"", ""ITGB4"", ""ADAMTS5"", ""COL20A1"", ""PLA2G4A"", ""GPC5""]",6,0.93,"[""enhanced invasive capacity through ECM breakdown and increased motility"", ""tumor spread via matrix remodeling and pro-migratory signaling""]"
01_OPC-AC-like_1_run1,1,OPC-AC-like 1,01_OPC-AC-like_1,1,2,Redox and ferroptosis resistance,"SLC7A11/xCT mediates cystine uptake for glutathione synthesis, protecting tumor cells against oxidative stress and ferroptotic death. LUCAT1 and coordinated lncRNAs may further regulate stress response.","[""SLC7A11"", ""LUCAT1""]",2,0.9,"[""increased tumor resistance to ferroptosis and oxidative stress"", ""promotion of stem cell-like properties in hypoxic tumor regions""]"
01_OPC-AC-like_1_run1,1,OPC-AC-like 1,01_OPC-AC-like_1,1,3,Immune evasion: MHC class I downregulation,NLRC5 activates MHC class I transcription; its dysregulation in glioblastoma leads to reduced antigen presentation and impaired anti-tumor immunity.,"[""NLRC5""]",1,0.88,"[""dampened tumor immunogenicity and evasion of cytotoxic T cell response""]"
01_OPC-AC-like_1_run2,1,OPC-AC-like 1,01_OPC-AC-like_1,2,0,Mesenchymal Invasion and ECM Remodeling,"Co-activation of genes encoding ECM receptors and remodeling proteins (CD44, ITGB4, ADAMTS5, PLA2G4A, COL20A1, CHST8, XYLT1, GPC5, TNR) promote invasive, mesenchymal state and facilitate glioblastoma cell migration through the brain parenchyma. Many are upregulated in GBM with mesenchymal phenotype, linked to recurrent tumors and poor prognosis.","[""CD44"", ""ITGB4"", ""PLA2G4A"", ""ADAMTS5"", ""COL20A1"", ""CHST8"", ""XYLT1"", ""GPC5"", ""TNR""]",9,0.98,"[""Enhanced migratory capacity and brain infiltration"", ""Therapy resistance via ECM protection"", ""Recurrence after surgical resection""]"
01_OPC-AC-like_1_run2,1,OPC-AC-like 1,01_OPC-AC-like_1,2,1,"Cancer Stemness, Plasticity, and Therapy Resistance","Markers of stem cell phenotype (GFAP, CD44, SLC7A11, GPC5, LUCAT1, PPARGC1A) and key regulatory lncRNAs enable glioblastoma cells to maintain stem-like state, resist differentiation, and survive stressors including hypoxia and chemotherapy.","[""GFAP"", ""CD44"", ""SLC7A11"", ""GPC5"", ""LUCAT1"", ""PPARGC1A""]",6,0.95,"[""Maintains cell population capable of recurrence after therapy"", ""Resistance to chemoradiation"", ""Adaptation to hypoxic, nutrient-poor microenvironments""]"
01_OPC-AC-like_1_run2,1,OPC-AC-like 1,01_OPC-AC-like_1,2,2,Immune Evasion and Immune Microenvironment Interaction,"NLRC5, SLC7A11, and lncRNAs interact to modulate antigen presentation and redox state in glioblastoma, facilitating immune escape. Additional ECM–related genes assist in constructing immunosuppressive niches.","[""NLRC5"", ""SLC7A11""]",2,0.9,"[""Evades T cell recognition"", ""Promotes redox homeostasis and resistance to immune cell mediated killing"", ""Maintains local immunosuppressive microenvironment""]"
01_OPC-AC-like_1_run2,1,OPC-AC-like 1,01_OPC-AC-like_1,2,3,Proliferation and Aberrant Cell Cycle Regulation,"PPARGC1A, KCNIP1, INPP4B, PLA2G4A, CD44, and specific lncRNAs (e.g., LUCAT1) coordinate metabolic and cell cycle programs to support high proliferative rates of glioblastoma cells.","[""PPARGC1A"", ""KCNIP1"", ""INPP4B"", ""PLA2G4A"", ""CD44"", ""LUCAT1""]",6,0.93,"[""Increased proliferation and metabolic flexibility"", ""Survival under nutrient and hypoxia stress"", ""Therapy resistance through metabolic adaptation""]"
01_OPC-AC-like_1_run2,1,OPC-AC-like 1,01_OPC-AC-like_1,2,4,Aberrant Neural and Synaptic Programs,"Genes encoding cell adhesion molecules, synaptic scaffolding proteins, and neural developmental regulators (UNC5D, LRRC4C, MDGA2, ARC, KCNIP1, ST8SIA1, ST8SIA5) are often upregulated in glioblastoma, supporting tumor-neuronal communication, invasion, and plasticity.","[""ARC"", ""MDGA2"", ""ST8SIA1"", ""ST8SIA5"", ""UNC5D""]",5,0.9,"[""Enhanced tumor\u2013neuron electrical coupling"", ""Network remodeling favoring tumor invasion"", ""Synaptic plasticity supporting proliferation and migration""]"
02_NPC-neuronal-like_1_run1,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,1,0,Motile Ciliary Axoneme,"This program represents a large cluster of genes encoding structural and regulatory components of motile cilia axonemes. The genes include multiple CFAP (cilia and flagella associated protein) family members (CFAP43, CFAP52, CFAP61, CFAP73, CFAP206, CFAP47, CFAP221, CFAP157, CFAP100), dynein arm proteins (DNAH12, DNAH5, DRC1, DNAAF1), radial spoke components (RSPH1), and axonemal assembly regulators (TTC29, TOGARAM2, LRRIQ1). These proteins collectively assemble and regulate the 9+2 microtubule structure characteristic of motile cilia. While motile cilia are not typically associated with differentiated glioblastoma cells, primary cilia play critical roles in glioma biology through Hedgehog signaling and other pathways. The aberrant expression of motile ciliary genes may reflect dedifferentiation, stem-like features, or ectopic developmental program activation in malignant glioblastoma.","[""CFAP43"", ""CFAP52"", ""CFAP61"", ""CFAP73"", ""CFAP206"", ""CFAP47"", ""CFAP221"", ""CFAP157"", ""CFAP100"", ""DNAH12"", ""DNAH5"", ""DRC1"", ""DNAAF1"", ""RSPH1"", ""TTC29"", ""LRRIQ1"", ""PKHD1"", ""DCDC2"", ""TOGARAM2""]",19,0.65,"[""Aberrant activation of ciliary developmental programs in dedifferentiated glioblastoma cells"", ""Potential modulation of Hedgehog and other cilium-dependent signaling pathways"", ""Reflects stem-like or progenitor cell features in malignant glioma cells""]"
02_NPC-neuronal-like_1_run1,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,1,1,Extracellular Matrix Remodeling,"This program encompasses genes encoding structural collagens (COL21A1, COL13A1, COL23A1, COL26A1), matricellular proteins (THBS1, POSTN), and basement membrane components (HMCN1). Thrombospondin-1 (THBS1) is particularly significant in glioblastoma, where it is upregulated at invasive tumor borders, promotes cell migration and invasion through CD47 interaction, and contributes to resistance to anti-angiogenic therapy. Periostin (POSTN) and collagen genes regulate the immunosuppressive tumor microenvironment and epithelial-mesenchymal transition. HMCN1, a fibulin family member and basement membrane component, is frequently mutated across cancers and may regulate tissue adhesion and invasion.","[""THBS1"", ""POSTN"", ""COL21A1"", ""COL13A1"", ""COL23A1"", ""COL26A1"", ""HMCN1""]",7,0.85,"[""Enhanced glioblastoma cell migration and invasion through ECM remodeling"", ""Establishment of immunosuppressive tumor microenvironment"", ""Promotion of mesenchymal phenotype and EMT in glioma cells"", ""Resistance to anti-angiogenic therapy mediated by THBS1""]"
02_NPC-neuronal-like_1_run1,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,1,2,GABAergic Neurotransmission,"This program includes GABA receptor subunits (GABRA5, GABRG3) and metabotropic glutamate receptors (GRM1, GRM4) that mediate inhibitory and excitatory neurotransmitter signaling. In glioblastoma, GABAergic signaling through GABA-A receptors can promote tumor growth through neuronal activity-dependent mechanisms. Glioma cells form functional neuron-glioma synapses and respond to GABAergic input, which can drive proliferation particularly in pediatric diffuse midline gliomas. GRM1 and GRM4 are part of neuroligin-3 and glutamate-mediated signaling that promotes glioma growth through neuronal activity.","[""GABRA5"", ""GABRG3"", ""GRM1"", ""GRM4"", ""KCNJ3""]",5,0.78,"[""Enhanced glioblastoma proliferation through neuronal activity-dependent GABAergic signaling"", ""Formation of functional neuron-glioma synapses"", ""Altered chloride homeostasis promoting depolarizing GABA responses"", ""Integration of neuronal microenvironment signals for tumor growth""]"
02_NPC-neuronal-like_1_run1,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,1,3,Transcriptional Regulation and Chromatin Remodeling,"This program includes zinc finger transcription factors (ZNF521, ZNF804B, PLAGL1), chromatin remodeling factors (CHD5, SATB1-AS1), and epigenetic regulators (PRMT8, AFF2). ZNF521 synergizes with GLI transcription factors to enhance Hedgehog signaling, which is critical in glioma stem cells. PLAGL1 is a core marker of glioblastoma that drives edge-to-core transition and directly regulates CD109 expression. CHD5 functions as a tumor suppressor in multiple cancers including gliomas. PRMT8 regulates neuronal differentiation and is depleted in glioblastoma. These genes collectively regulate stem cell programs, differentiation, and oncogenic transcription.","[""ZNF521"", ""PLAGL1"", ""CHD5"", ""PRMT8"", ""AFF2"", ""ZNF804B"", ""SATB1-AS1""]",7,0.82,"[""Enhanced Hedgehog signaling through ZNF521-GLI synergy in glioma stem cells"", ""Promotion of glioblastoma edge-to-core transition and CD109 expression by PLAGL1"", ""Loss of tumor suppressor function due to CHD5 downregulation"", ""Disrupted neuronal differentiation programs due to PRMT8 depletion""]"
02_NPC-neuronal-like_1_run1,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,1,4,cAMP Signaling and Kinase Cascades,"This program includes adenylate cyclase (ADCY8), kinase suppressor of RAS (KSR2), and MAP kinases (MAP3K19, MAP7) that regulate cAMP production and MAPK signaling. ADCY8 polymorphisms are sex-specific modifiers of glioma risk in neurofibromatosis type 1 patients. KSR2 regulates both ERK signaling and AMPK-dependent metabolism, and is essential for tumor cell energy homeostasis and anchorage-independent growth. The cAMP pathway regulates glioma proliferation, and its dysregulation contributes to tumorigenesis in a sexually dimorphic manner.","[""ADCY8"", ""KSR2"", ""MAP3K19"", ""MAP7""]",4,0.72,"[""Sex-specific modulation of glioma risk through ADCY8 polymorphisms"", ""Integration of mitogenic and metabolic signaling via KSR2"", ""Enhanced tumor cell proliferation and anchorage-independent growth"", ""Modulation of chemotherapy and radiation resistance through cAMP signaling""]"
02_NPC-neuronal-like_1_run1,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,1,5,Neuregulin-BMP Signaling,"This program includes neuregulin-3 (NRG3) and bone morphogenetic protein 6 (BMP6), which regulate neural development, stem cell differentiation, and tumor cell fate. NRG3 promotes glioma cell migration and invasion through enhanced L1CAM expression and is associated with immune cell infiltration. BMP signaling induces glioma stem cell quiescence and confers resistance to radiation and temozolomide by activating DNA repair machinery. The balance between TGF-beta and BMP signaling defines proliferative versus quiescent glioma stem cell states.","[""NRG3"", ""BMP6""]",2,0.76,"[""Enhanced glioma cell migration and invasion through NRG3-mediated L1CAM expression"", ""Establishment of quiescent, therapy-resistant glioma stem cell population via BMP signaling"", ""Modulation of tumor immune microenvironment by NRG3"", ""Increased DNA repair capacity and radiation resistance in BMP-activated cells""]"
02_NPC-neuronal-like_1_run1,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,1,6,Solute Carrier Transporters,"This program includes multiple solute carrier family members (SLC14A1, SLC47A2, SLC22A3) that transport urea, organic cations, and drugs across cell membranes. SLC47A1 (homolog of SLC47A2) is highly expressed in glioma stem cells and correlates with malignancy and poor prognosis. SLC22A3 expression is a favorable prognostic biomarker in glioblastoma. These transporters regulate drug uptake, metabolite transport, and may influence chemotherapy sensitivity and tumor metabolism.","[""SLC14A1"", ""SLC47A2"", ""SLC22A3""]",3,0.68,"[""Regulation of temozolomide sensitivity through drug transporter expression"", ""Modulation of metabolite homeostasis affecting glioma proliferation"", ""Influence on glioma stem cell sphere-forming ability"", ""Contribution to chemoresistance phenotypes""]"
02_NPC-neuronal-like_1_run1,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,1,7,Immune Cell Markers,"This program includes B-cell marker BANK1, immune adaptor FYB2, and interleukin-6 receptor (IL6R) that reflect immune cell infiltration in the glioblastoma microenvironment. B-cells in glioblastoma can drive response to immune checkpoint blockade, and their infiltration correlates with therapeutic efficacy. IL6R signaling is implicated in glioma progression and immune modulation. The presence of these immune markers may reflect lymphocyte infiltration or expression by tumor cells themselves.","[""BANK1"", ""FYB2"", ""IL6R""]",3,0.64,"[""Reflects B-cell and lymphocyte infiltration in glioblastoma microenvironment"", ""Potential modulation of immune checkpoint blockade response"", ""IL6-mediated tumor-immune cell interactions"", ""Formation of tertiary lymphoid structures in tumor""]"
02_NPC-neuronal-like_1_run2,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,2,0,Motile Cilia Function and Structure,"Cluster of genes (CFAP43, CFAP52, CFAP61, CFAP73, CFAP100, CFAP157, CFAP206, CFAP221, DNAH12, DNAH5, DRC1, DNAAF1, TCTEX1D1, DCDC2, RSPH1, LRRC2, LRRIQ1, TTC29, ZBBX, DTHD1) encode components of the motile cilium and its assembly machinery. In glioblastoma, aberrant ciliary function is increasingly recognized as contributing to tumor microenvironment interactions, signaling changes, and possibly immunosuppression.","[""CFAP43"", ""CFAP52"", ""CFAP61"", ""CFAP73"", ""CFAP100"", ""CFAP157"", ""CFAP206"", ""CFAP221"", ""DNAH12"", ""DNAH5"", ""DRC1"", ""DNAAF1"", ""TCTEX1D1"", ""DCDC2"", ""RSPH1"", ""LRRC2"", ""LRRIQ1"", ""TTC29"", ""ZBBX"", ""DTHD1""]",20,0.9,"[""Deficient or abnormal ciliary signaling may alter microenvironmental sensing and contribute to immune evasion in glioblastoma"", ""Disrupted ciliary assembly can impact cell division, Wnt signaling, and cell polarity""]"
02_NPC-neuronal-like_1_run2,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,2,1,Extracellular Matrix Remodeling and Tumor Invasion,"Multiple collagen and ECM-remodeling genes (COL21A1, COL13A1, COL23A1, COL26A1, THBS1, POSTN, HMCN1, ADAMTS18, CFAP-related) contribute to the composition, stiffness, and organization of the tumor microenvironment. Glioblastoma exploits these programs to facilitate invasion, angiogenesis, immune modulation, and therapy resistance.","[""COL21A1"", ""COL13A1"", ""COL23A1"", ""COL26A1"", ""THBS1"", ""POSTN"", ""HMCN1"", ""ADAMTS18""]",8,0.95,"[""Promotes tumor invasion through ECM stiffening and degradation"", ""Facilitates angiogenesis and immune exclusion"", ""Induces therapy resistance via physical barriers and signaling""]"
02_NPC-neuronal-like_1_run2,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,2,2,Inflammatory and Mesenchymal Signaling,"Genes IL6R, BMP6, POSTN, THBS1, SATB1-AS1, COL-related, and others act in canonical pathways that regulate inflammation, immune suppression, mesenchymal transition, and stemness in glioblastoma.","[""IL6R"", ""BMP6"", ""POSTN"", ""THBS1"", ""SATB1-AS1""]",5,0.97,"[""Drives immune suppression and poor therapy response"", ""Promotes stemness and invasion via mesenchymal transition"", ""Links inflammation to increased glioblastoma aggressiveness""]"
02_NPC-neuronal-like_1_run2,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,2,3,Neuronal and Synaptic Signaling Dysregulation,"Genes GABRA5, GABRG3, KCNJ3, GRM1, GRM4, NAALAD2, CA10, SLC22A3, SLC14A1, SLC47A2 are involved in neuro-signaling, glutamatergic, and GABAergic transmission, which are re-wired in glioblastoma to promote cell migration, invasion, and altered metabolism.","[""GRM1"", ""GRM4"", ""GABRA5"", ""GABRG3"", ""KCNJ3"", ""NAALAD2"", ""CA10"", ""SLC14A1"", ""SLC22A3"", ""SLC47A2""]",10,0.88,"[""Enhances tumor cell migration through neurotransmitter pathway hijacking"", ""Alters cell metabolism and microenvironment responsiveness""]"
02_NPC-neuronal-like_1_run2,2,NPC-neuronal-like 1,02_NPC-neuronal-like_1,2,4,Chromatin/Transcriptional Regulation and Tumor Suppressor Pathways,"Transcription factors and epigenetic regulators (CHD5, SATB1-AS1, ZNF521, ZNF804B, AFF2, PRMT8, RBMS3) coordinate gene expression programs, cell fate determination, and tumor suppression. In glioblastoma, loss or mutation in these genes drives therapy resistance, stemness, and cell state plasticity.","[""CHD5"", ""SATB1-AS1"", ""ZNF521"", ""ZNF804B"", ""AFF2"", ""PRMT8"", ""RBMS3""]",7,0.92,"[""Controls cell state plasticity and stemness"", ""Loss drives therapy resistance and tumor progression""]"
03_NPC-neuronal-like_2_run1,3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,1,0,Extracellular Matrix Remodeling & Invasion,"Enrichment for genes encoding ECM proteins, ECM remodelers and their regulators associated with glioblastoma cell invasion, mesenchymal transition, and tumor angiogenesis. Programs include collagen (COL3A1, COL6A3), periostin (POSTN), TGFBI, FAP, SMOC2, and multiple matrix metalloproteinases (ADAMTS3). Periostin and FAP+ mesenchymal cells promote active angiogenesis, abnormal vascular structure, and stemness.","[""COL3A1"", ""COL6A3"", ""POSTN"", ""TGFBI"", ""FAP"", ""SMOC2"", ""ADAMTS3"", ""FRAS1""]",8,0.96,"[""Enhanced invasion through remodeling of matrix"", ""Promotion of abnormal angiogenesis and vascular niche formation"", ""Increased tumor cell migration""]"
03_NPC-neuronal-like_2_run1,3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,1,1,Glutamatergic & Synaptic Signaling Deregulation,"Enrichment for vesicular glutamate transporters (SLC17A6), glutamate receptor components (GRIN2A), and synaptic proteins (SV2B, SYT1, RIMBP2). Tumors hijack glutamatergic synapses and signaling to promote invasion, hyperexcitability, and stem cell maintenance.","[""SLC17A6"", ""GRIN2A"", ""SV2B"", ""SYT1"", ""RPH3A"", ""RIMBP2""]",6,0.94,"[""Enhanced glutamatergic signaling drives tumor proliferation and invasion"", ""Tumor-induced hyperexcitability and epileptogenesis"", ""Aberrant synaptic connectivity fosters glioblastoma stem cell niche""]"
03_NPC-neuronal-like_2_run1,3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,1,2,Axon Guidance & Cell Migration,"Collective enrichment for axon guidance proteins (EFNA5, SEMA3C, UNC5D, CNTN5, CNTNAP4), with roles in migration/invasion, tumor plasticity, and stem cell maintenance.","[""EFNA5"", ""SEMA3C"", ""UNC5D"", ""CNTN5"", ""CNTNAP4""]",5,0.91,"[""Facilitates invasion via re-purposing axon guidance programs"", ""Supports tumor cell plasticity, migration, and self-renewal""]"
03_NPC-neuronal-like_2_run1,3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,1,3,Transcriptional & Epigenetic Reprogramming,"Enrichment for transcription factors (EBF1, EBF2, CUX2, MYT1L, POU6F2, RUNX1T1), RNA-binding proteins (RBFOX1), and splicing factors, which drive stemness, plasticity, and resistance. Links to aberrant splicing program.","[""EBF1"", ""EBF2"", ""CUX2"", ""MYT1L"", ""POU6F2"", ""RUNX1T1"", ""RBFOX1"", ""SRRM4""]",8,0.88,"[""High plasticity and drug resistance via transcriptional reprogramming"", ""Enhanced self-renewal and stemness""]"
03_NPC-neuronal-like_2_run1,3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,1,4,Potassium Channel & Ion Transport Adaptations,"Several potassium channel (KCNJ6, KCNC2, DPP10) and ion transport modulators support cellular adaptation for migration, volume regulation, and therapy resistance.","[""KCNJ6"", ""KCNC2"", ""DPP10""]",3,0.85,"[""Enhanced migration and invasiveness"", ""Potential therapy resistance via cell volume regulation""]"
03_NPC-neuronal-like_2_run2,3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,2,0,Extracellular Matrix and Invasion,"Collagen (COL3A1, COL6A3), periostin (POSTN), and fibroblast activation protein (FAP) contribute to the remodeling of the glioblastoma extracellular matrix, driving cell invasion, angiogenesis, and progression. These genes encode ECM proteins and regulators found upregulated in GBM and facilitate tumor cell migration, vessel formation, and therapeutic resistance.","[""COL3A1"", ""COL6A3"", ""POSTN"", ""FAP""]",4,0.95,"[""Enhanced glioblastoma cell invasion through ECM modification"", ""Promotion of angiogenesis"", ""Increased tumor cell migration and therapy resistance""]"
03_NPC-neuronal-like_2_run2,3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,2,1,Glutamatergic Excitotoxicity and Synapse Dynamics,"Genes encoding vesicular glutamate transporter (SLC17A6), NMDA receptor subunit (GRIN2A), synapse proteins (SYT1, SYNPR, SV2B), and auxiliary regulators (GLRA2) drive aberrant glutamatergic signaling, which is implicated in glioblastoma cell survival, migration, resistance to radiotherapy, and neuron-tumor interactions.","[""SLC17A6"", ""GRIN2A"", ""SYT1"", ""SYNPR"", ""SV2B"", ""GLRA2""]",6,0.9,"[""Potentiation of glutamate-dependent survival and migration"", ""Resistance to radiotherapy"", ""Tumor-neuron synaptic interaction in microenvironment""]"
03_NPC-neuronal-like_2_run2,3,NPC-neuronal-like 2,03_NPC-neuronal-like_2,2,2,Glioma Stem Cell Maintenance and Therapy Resistance,"GFRA1 and GDNF (via RET) signaling pathways, including associated neural transcription factors (MYT1L, CUX2, POU6F2), and ECM-remodeling proteases (ADAMTS3), underpin stem cell characteristics, self-renewal, chemoresistance, and cellular hierarchy. SEMA3C and BMP antagonists (e.g., GREM2, RUNX1T1) further maintain stemness and resistance.","[""GFRA1"", ""MYT1L"", ""CUX2"", ""POU6F2"", ""ADAMTS3"", ""SEMA3C"", ""GREM2"", ""RUNX1T1""]",8,0.89,"[""Increase in chemotherapy and radiotherapy resistance"", ""Maintenance of self-renewal and stem cell hierarchy"", ""Sustained invasive and migratory behavior""]"
04_AC-gliosis-like_1_run1,4,AC-gliosis-like 1,04_AC-gliosis-like_1,1,0,Aquaporin/ion channel invasion,"AQP1, AQP4, KCNN3, ATP1A2, and GJA1 regulate water and ion flux, supporting glioblastoma cell motility, migration, and invasion. Participation in cell shape modulation and cytoskeletal dynamics needed for perivascular and parenchymal infiltration, including interaction with integrin- and CD44-dependent machinery.","[""AQP1"", ""AQP4"", ""KCNN3"", ""ATP1A2"", ""GJA1""]",5,0.92,"[""Increased cell invasion and migration"", ""Enhanced tissue infiltration"", ""Contribution to brain parenchymal invasion""]"
